a 日
fdbm 粗
fdcsh 粉
fdha 粕
fdhoa 糌
fdhuk 糗
fdiih 糁
fdile 糠
fdilr 糖
fdjmf 粽
fdjrb 糊
fdk 炔
fdmbb 糯
fdmcw 粞
fdmlk 粳
fdmq 炜
fdmtb 粝
fdnd 籽
fdnhd 糅
fdnii 糨
fdnob 糈
fdok 敉
fdqmb 精
fdtgf 糕
fdtwa 糟
fdwf 炼
fdwtc 粪
fdyhr 糙
fdyj 料
fdyoj 粹
fdyr 粘
fdyt 粒
ff 炎
ffbc 蓥
ffbd 荣
ffbe 荥
ffbf 荧
ffbg 茔
ffbhf 莺
ffbhq 荦
ffbks 劳
ffbli 萤
ffbmg 莹
ffbnj 茕
ffbrr 营
ffbvf 萦
ffe 燮
fff 焱
ffh 炒
ffln 剡
ffnl 郯
fg 灶
fggu 烧
fh 少
fhag 煌
fhbk 燠
fhbu 省
fhdw 燔
fhej 烽
fher 烙
fhfd 烀
fhhw 熘
fhje 煅
fhks 劣
fhs 炸
fhsb 煸
fhsm 煽
fhup 熄
fiov 煺
fjcr 熔
fjks 烤
fjmm 煊
fjmu 烷
fjrb 煳
fk 尖
fkbu 瞥
fkcf 燎
fkf 尜
fkhqu 氅
fkkb 烯
fklb 币
fkmbc 类
fkmnp 毙
fknwf 鳖
fkp 憋
fkryo 蹩
fkt 弊
flmt 烬
fmbc 烦
fmhr 炻
fmmr 焐
fmob 炳
fmu 光
fmvm 烃
fmwg 烟
fnbk 焕
fnhx 焰
fno 炊
fnot 灯
fog 雀
foir 炝
foir 焓
foma 烩
fpi 灼
fpru 炮
fpu 炖
fq 半
fqbu 眷
fqd 桊
fqhe 叛
fqln 判
fqmso 豢
fqnl 邻
fqnwm 鲞
fqq 拳
fqsh 券
fqsu 卷
fqvv 粼
frrd 燥
fsma 熠
fss 炬
ftc 烘
ftmd 煤
ftmj 烨
ftq 烊
fubjj 辉
fusmg 耀
fvid 烁
fwli 烛
fwmv 煨
fyaj 焯
fycb 熵
fyed 灿
fyg 炷
fyhn 炕
fyia 炽
fypt 炉
fyto 燧
fytr 焙
fyvi 炫
g 土
gagi 埘
gam 坦
gamh 场
gamo 堤
gaph 埸
gasm 塌
gav 垠
gawe 墁
gb 冉
gbb 堋
gbbr 埚
gbdi 埒
gbhne 觳
gblm 壶
gbmo 冢
gbmr 垌
gbmt 壹
gby 坍
gcbuu 觌
gcglc 赫
gcjka 赭
gcnl 郝
gcok 赦
gcsle 赧
gcwa 增
gdhe 坡
gdi 寺
gebu 瞽
gehda 馨
gehhj 鼙
geid 墚
gemr 磬
geoju 罄
gep 悫
gesj 声
geymr 謦
gfno 款
gg 圭
ggdi 封
gggu 尧
ggp 恚
ggy 卦
ghbr 垧
ghe 坂
